epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2655,2.02462,3.75287,1.85506,0.30782,0.45406,0.37273,0.18277,1.86841,3.27921,1.7578,0.00014,0.00014,0.00014
2,35.9589,1.78921,2.10992,1.63943,0.57961,0.62637,0.59934,0.29331,1.83446,2.1334,1.6554,0.000285215,0.000285215,0.000285215
3,42.8957,1.67117,1.65169,1.56629,0.53694,0.52764,0.53114,0.24024,1.91268,1.98605,1.73502,0.00042548,0.00042548,0.00042548
4,48.676,1.74204,1.55549,1.58617,0.69898,0.38764,0.46835,0.19434,2.02302,2.17968,2.01188,0.000560795,0.000560795,0.000560795
5,55.3567,1.69977,1.49386,1.58645,0.46631,0.67889,0.6053,0.28706,2.0279,1.72724,1.94046,0.00069116,0.00069116,0.00069116
6,61.5183,1.66648,1.30799,1.54269,0.65087,0.58319,0.59362,0.28776,2.00979,1.61111,1.91575,0.000816575,0.000816575,0.000816575
7,68.5242,1.70642,1.30685,1.58551,0.67936,0.49642,0.60057,0.2535,2.00139,1.72932,1.91433,0.000901,0.000901,0.000901
8,74.233,1.69612,1.22114,1.53835,0.62132,0.64196,0.71676,0.31444,1.95639,1.60285,1.80347,0.0008845,0.0008845,0.0008845
9,80.4917,1.67614,1.24082,1.52352,0.61118,0.53537,0.53322,0.26174,1.93237,1.50423,1.83546,0.000868,0.000868,0.000868
10,86.6005,1.63829,1.13614,1.50822,0.63863,0.66356,0.68279,0.3519,1.95257,1.31711,1.82747,0.0008515,0.0008515,0.0008515
11,92.4662,1.58837,1.09135,1.50139,0.68669,0.64728,0.69978,0.34776,1.94483,1.40059,1.75507,0.000835,0.000835,0.000835
12,99.1218,1.57673,1.1449,1.50876,0.70168,0.71055,0.76454,0.34801,1.99245,1.29273,1.90589,0.0008185,0.0008185,0.0008185
13,104.523,1.58814,1.15232,1.49671,0.6345,0.74708,0.7812,0.37214,1.95693,1.28522,1.81807,0.000802,0.000802,0.000802
14,111.366,1.60145,1.16504,1.5089,0.57835,0.66674,0.68842,0.35201,2.0196,1.44009,1.83834,0.0007855,0.0007855,0.0007855
15,116.988,1.5321,1.08201,1.45104,0.66318,0.62091,0.67577,0.35091,1.92715,1.29205,1.73686,0.000769,0.000769,0.000769
16,123.588,1.5407,1.05438,1.48722,0.55215,0.65655,0.60231,0.28786,2.00527,1.44483,1.83159,0.0007525,0.0007525,0.0007525
17,129.526,1.58486,1.17623,1.52292,0.65622,0.69227,0.71218,0.34563,2.08429,1.52274,1.88657,0.000736,0.000736,0.000736
18,136.106,1.52691,1.01933,1.48093,0.73491,0.64859,0.67661,0.31774,1.95218,1.53764,1.78356,0.0007195,0.0007195,0.0007195
19,142.196,1.47357,0.97395,1.42137,0.74221,0.72256,0.76671,0.37977,1.90061,1.35356,1.74505,0.000703,0.000703,0.000703
20,148.714,1.46591,0.91626,1.41211,0.77287,0.77549,0.80191,0.42328,1.92943,1.13071,1.7131,0.0006865,0.0006865,0.0006865
21,154.725,1.40149,0.91972,1.3539,0.73951,0.76015,0.77982,0.42573,1.88108,1.1724,1.68712,0.00067,0.00067,0.00067
22,161.144,1.43115,0.91302,1.40389,0.73308,0.70477,0.76261,0.39476,1.88781,1.2927,1.72177,0.0006535,0.0006535,0.0006535
23,167.003,1.42132,0.92471,1.38241,0.73291,0.70945,0.7672,0.38657,1.94337,1.30606,1.75374,0.000637,0.000637,0.000637
24,173.364,1.43939,0.87376,1.39606,0.75828,0.72635,0.79272,0.42882,1.90611,1.0741,1.69186,0.0006205,0.0006205,0.0006205
25,179.388,1.34965,0.8353,1.32655,0.7323,0.7508,0.75905,0.40763,1.96233,1.12511,1.72039,0.000604,0.000604,0.000604
26,186.009,1.37402,0.8416,1.34293,0.82208,0.68523,0.78842,0.35657,2.01707,1.2733,1.79358,0.0005875,0.0005875,0.0005875
27,191.953,1.37253,0.82705,1.33209,0.78879,0.7465,0.77028,0.35329,1.95914,1.15928,1.78092,0.000571,0.000571,0.000571
28,198.681,1.37795,0.81656,1.35783,0.75512,0.78694,0.80221,0.38831,1.98709,1.07972,1.8562,0.0005545,0.0005545,0.0005545
29,204.312,1.33536,0.78218,1.31164,0.77013,0.80717,0.83943,0.39875,2.00222,1.0593,1.81671,0.000538,0.000538,0.000538
30,211.292,1.41019,0.84693,1.35881,0.79859,0.7555,0.8212,0.39143,2.01792,1.10953,1.81475,0.0005215,0.0005215,0.0005215
31,217.031,1.26543,0.75639,1.28793,0.78511,0.75883,0.80546,0.40702,2.00756,1.11863,1.85771,0.000505,0.000505,0.000505
32,223.205,1.27542,0.75781,1.29587,0.78345,0.75681,0.82648,0.39743,1.99807,1.06454,1.81849,0.0004885,0.0004885,0.0004885
33,229.398,1.26451,0.72945,1.26606,0.81232,0.77607,0.81849,0.42802,1.93514,1.08111,1.75895,0.000472,0.000472,0.000472
34,235.27,1.26346,0.74671,1.2637,0.6858,0.75845,0.73332,0.38213,1.97473,1.19263,1.79163,0.0004555,0.0004555,0.0004555
35,242.067,1.27733,0.77152,1.27827,0.8016,0.69725,0.79293,0.43563,1.92183,1.18319,1.72007,0.000439,0.000439,0.000439
36,247.777,1.22641,0.72608,1.2645,0.77282,0.77921,0.82834,0.42711,1.88925,1.08281,1.72644,0.0004225,0.0004225,0.0004225
37,254.19,1.22684,0.71573,1.23652,0.82149,0.78102,0.82675,0.40042,1.91127,0.99416,1.74795,0.000406,0.000406,0.000406
38,259.948,1.15881,0.67859,1.22734,0.83328,0.79675,0.84409,0.44531,1.9065,0.94079,1.75857,0.0003895,0.0003895,0.0003895
39,266.351,1.20591,0.68598,1.27364,0.83188,0.80164,0.84191,0.47067,1.90065,1.00155,1.75665,0.000373,0.000373,0.000373
40,272.429,1.17776,0.64433,1.21754,0.78478,0.79629,0.82936,0.4317,1.93976,0.99391,1.78228,0.0003565,0.0003565,0.0003565
